2020-09-23	1
2020-09-24	2
2020-09-25	2
2020-09-26	1
2020-09-30	2
2020-10-30	2
2020-11-18	1
2020-11-29	1
2020-12-02	1
2020-12-03	1
2020-12-12	1
2020-12-20	1
2020-12-22	1
2020-12-24	2
2020-12-25	2
2020-12-26	1
2021-01-01	2
2021-01-08	1
2021-01-10	1
2021-01-11	1
2021-01-18	1
2021-01-20	1
2021-01-21	4
2021-01-23	1
2021-01-28	1
2021-02-02	2
2021-03-19	1
2021-03-25	4
2021-04-21	1
2021-04-22	3
2021-04-23	1
2021-04-28	1
2021-06-03	3
2021-06-05	1
2021-06-11	1
2021-06-17	7
2021-06-18	2
2021-06-20	1
2021-07-08	1
2021-07-18	1
2021-07-20	3
2021-08-06	1
2021-08-31	1
2021-09-14	1
2021-09-15	9
2021-09-17	1
2021-09-20	1
2021-10-14	2
2021-10-15	1
2021-10-21	1
2021-10-22	1
2021-10-25	1
2021-11-12	1
2021-11-16	2
2021-11-18	2
2021-11-19	2
2021-11-22	3
2021-11-23	1
2021-11-30	1
2021-12-09	1
2021-12-11	1
2021-12-15	4
2021-12-16	5
2021-12-17	2
2021-12-19	1
2021-12-12	1
2021-12-23	2
2021-12-24	1
2021-12-27	1
2022-01-01	1
2022-01-11	1
2022-01-17	1
2022-01-20	11
2022-01-21	7
2022-01-25	1
2022-02-24	1
2022-03-05	2
2022-03-10	1
2022-03-24	3
2022-04-14	2
2022-04-21	6
2022-04-22	4
2022-04-28	1
2022-04-30	1
2022-05-01	2
2022-05-08	1
2022-05-20	1
2022-05-25	3
2022-06-02	3
2022-06-13	2
2022-06-14	1
2022-06-16	14
2022-06-17	5
2022-06-21	1
2022-06-23	2
2022-07-04	1
2022-07-08	1
2022-07-11	1
2022-07-14	1
2022-07-18	1
2022-07-19	1
2022-07-24	1
